parent,child,role
B11-9097009,B15-1051542,sire
B11-9065109,B15-1051542,dam
B13-9029414,B15-1051576,sire
B07-9023364,B15-1051576,dam
B05-9029203,CHN11-03-777727,sire
B05-9029082,CHN11-03-777727,dam
B98-9147146,B05-9029203,sire
B03-9021332,B05-9029203,dam
B98-9147006,B05-9029082,sire
B02-9050056,B05-9029082,dam
B09-2063107,B11-2074116,sire
B05-2075614,B11-2074116,dam
B07-2038199,B09-2063107,sire
B05-2075614,B09-2063107,dam
B99-2318299,B05-2075614,sire
B99-2318173,B05-2075614,dam
CHN02-03-290957,CHN12-03-111564,sire
B01-9040015,CHN12-03-111564,dam
B01-9040056,CHN02-03-290957,sire
B01-9040015,CHN02-03-290957,dam
B94-9080049,B01-9040015,sire
B95-9231712,B01-9040015,dam
CHN02-03-290957,CHN12-03-111345,sire
B01-9040015,CHN12-03-111345,dam
B05-9029201,CHN12-03-111634,sire
B01-9040015,CHN12-03-111634,dam
B98-9147146,B05-9029201,sire
B02-9071526,B05-9029201,dam
B05-6448064,CHN15-10-0761979,sire
B12-6236166,CHN15-10-0761979,dam
B94-6214450,B05-6448064,sire
B02-6091418,B05-6448064,dam
B08-6314611,B12-6236166,sire
B02-6091494,B12-6236166,dam
B05-9029201,CHN12-03-111566,sire
B05-9029035,CHN12-03-111566,dam
B02-9071581,B05-9029035,sire
B02-9096145,B05-9029035,dam
B05-9029002,CHN15-03-0670162,sire
B05-9029035,CHN15-03-0670162,dam
B98-9147146,B05-9029002,sire
B03-9021332,B05-9029002,dam
B12-2021418,B14-2323420,sire
B09-2025053,B14-2323420,dam
B11-2067104,B12-2021418,sire
B11-2067173,B12-2021418,dam
B07-2232040,B09-2025053,sire
B07-2222862,B09-2025053,dam
B14-4148060,CHN15-03-0670660,sire
B14-4148070,CHN15-03-0670660,dam
CHN08-03-626188,CHN12-03-111909,sire
CHN08-03-191119,CHN12-03-111909,dam
NL98-5821415,CHN08-03-626188,sire
NL99-5971339,CHN08-03-626188,dam
NL98-5821415,CHN08-03-191119,sire
NL99-5971339,CHN08-03-191119,dam
B13-6080502,CHN15-03-0670966,sire
B10-2083175,B14-2323405,sire
B11-2067233,B14-2323405,dam
B09-2025076,B10-2083175,sire
B01-2270233,B10-2083175,dam
B09-2025181,B11-2067233,sire
B05-2201710,B11-2067233,dam
B07-6140214,B16-6031672,sire
B14-6175955,B16-6031672,dam
B97-6101055,B07-6140214,sire
B02-6051523,B07-6140214,dam
B04-6208161,B14-6175955,sire
B11-6289620,B14-6175955,dam
B14-2216369,CHN18-03-0987865,sire
B14-2216459,CHN18-03-0987865,dam
B06-2082164,B14-2216369,sire
B10-21218322008,B14-2216369,dam
B08-2040296,B14-2216459,sire
B12-2061163,B14-2216459,dam
B10-6217260,B16-6031687,sire
B11-6329802,B16-6031687,dam
B07-6140038,B11-6329802,sire
B10-6217322,B11-6329802,dam
B11-2067237,B14-2206605,sire
B11-2067160,B14-2206605,dam
B06-2222493,B11-2067237,sire
B06-2222495,B11-2067237,dam
B09-2025181,B11-2067160,sire
B05-2201710,B11-2067160,dam
B16-4091301,CHN17-03-1150595,sire
B16-4091337,CHN17-03-1150595,dam
B06-4296522,B16-4091301,sire
B15-4134246,B16-4091301,dam
B06-4296522,B16-4091337,sire
B14-4009096,B16-4091337,dam
B13-6026103,CHN17-03-1150411,sire
B11-6282249,CHN17-03-1150411,dam
B07-6221019,B13-6026103,sire
B08-6147602,B11-6282249,sire
B05-6234389,B11-6282249,dam
B10-2063259,B14-2323414,sire
B08-3106083,B10-2063259,sire
B01-2270233,B10-2063259,dam
B07-6140215,B16-6031662,sire
B10-6358172,B16-6031662,dam
B97-6101055,B07-6140215,sire
B02-6051523,B07-6140215,dam
B08-6384340,B10-6358172,sire
B08-6232759,B10-6358172,dam
B14-6306280,B16-6031683,sire
B13-6027150,B16-6031683,dam
B04-6208161,B14-6306280,sire
B04-6208086,B14-6306280,dam
B07-6140215,B13-6027150,sire
B07-6140081,B13-6027150,dam
NL08-1108360,CHN10-01-928189,sire
B04-21254582004,CHN10-01-928189,dam
NL07-1546486,NL08-1108360,sire
NL05-2077593,NL08-1108360,dam
B03-5086552,B04-21254582004,sire
NL02-1949970,B04-21254582004,dam
B10-2083175,B14--2206738,sire
B11-2067233,B14--2206738,dam
B07-6140214,B13-6312979,sire
B07-6388666,B13-6312979,dam
B10-2063259,B14-2206741,sire
B11-2067237,B14-2206743,sire
B11-2067144,B14-2206743,dam
B09-2025181,B11-2067144,sire
B05-2201710,B11-2067144,dam
B06-6148300,CHN16-02-0018624,sire
B08-6372577,CHN16-02-0018624,dam
B00-6549276,B06-6148300,sire
B00-6141430,B06-6148300,dam
B01-6455003,B08-6372577,sire
B05-9029201,CHN12-03-111759,sire
B01-9040015,CHN12-03-111759,dam
B02-9069978,CHN07-03-623692,sire
B05-9029082,CHN07-03-623692,dam
B95-3335693,B02-9069978,sire
B98-3181155,B02-9069978,dam
B14-6304972,CHN18-03-1320450,sire
B14-6022972,CHN18-03-1320450,dam
CHN05-03-000286,CHN12-03-111942,sire
CHN06-03-000737,CHN12-03-111942,dam
CHN07-03-598116,CHN119-03-0060845,sire
CHN17-03-1150595,CHN119-03-0060845,dam
B04-5221280,CHN07-03-299891,sire
B05-6166491,CHN07-03-299891,dam
B01-5025782,B04-5221280,sire
B00-5150519,B04-5221280,dam
B99-6143597,B05-6166491,sire
B01-6255457,B05-6166491,dam
B05-6166491,CHN2011-03-399084,dam
B02-5107696,B06-5046611,dam
B99-5272893,B02-5107696,sire
B91-5166888,B02-5107696,dam
NL2004-0452773,NL07-1955948,dam
GFL00-995,NL2004-0452773,dam
NL2005-0029618,NL2007-1955953,sire
NL2005-1547868,NL2007-1955953,dam
NL2000-0083413,NL2005-0029618,sire
NL1999-2507150,NL2005-0029618,dam
B04-6177653,NL10-1084856,sire
B02-6175791,NL10-1084856,dam
NL07-1183353,NL15-1208208,sire
B10-6297752,NL15-1208208,dam
B01-6455003,B05-6040441,sire
B99-6247128,B05-6040441,dam
B98-6160968,B01-6455003,sire
B95-6302321,B01-6455003,dam
B96-6452295,B99-6247128,sire
B94-6174524,B99-6247128,dam
NL07-1183353,NL15-1208315,sire
B10-6297752,NL15-1208315,dam
B96-3121913,B02-6091479,dam
B97-6165917,B04-6276464,sire
B97-6364004,B04-6276464,dam
NL05-1239910,NL08-1102595,dam
B06-6148179,B08-6050198,sire
B06-6148039,B08-6050198,dam
B04-6073655,B06-6148179,sire
B03-6192822,B06-6148179,dam
B03-6032896,B06-6148039,sire
B03-6192606,B06-6148039,dam
B09-6114940,CHN14-03-368854,sire
CHN12-03-666150,CHN14-03-368854,dam
B07-6043940,B09-6358184,dam
B05-6045093,B07-6043940,sire
B1995-623035,CHN2007-32-885039,sire
NL2003-5342759,CHN2007-32-885039,dam
CHN03-26-095109,CHN2008-26-181041,sire
CHN2004-26-111021,CHN2008-26-181041,dam
B2001-3031243,CHN03-26-095109,sire
NL2002-5227753,CHN03-26-095109,dam
B1995-623035,CHN2004-26-111021,sire
BELG1994-6495178,BELG2006-6154903,sire
B02-6121675,BELG2006-6154903,dam
B00-6440232,B07-6379889,dam
B95-6303932,B00-6440232,sire
B97-6210632,B00-6440232,dam
B03-6254818,NL10-5012001,sire
NL07-5724626,NL10-5012001,dam
NL06-1597707,NL10-1109537,sire
B02-6113220,B10-6148341,sire
B01-6094275,B10-6148341,dam
B00-6141444,B02-6113220,sire
B00-6440232,B02-6113220,dam
B00-6549276,B01-6094275,sire
B00-6141430,B01-6094275,dam
B07-6369514,B10-6347281,sire
B00-6141404,B07-6369514,sire
B04-6073810,B07-6369514,dam
B06-3010257,B12-5029091,sire
B07-5168513,B12-5029091,dam
B00-3205376,B06-3010257,sire
B05-3057716,B06-3010257,dam
B05-2181562,B15-2142603,sire
B09-2056786,B15-2142603,dam
B99-2379279,B05-2181562,sire
E00-5259375,B05-2181562,dam
B00-2407581,B09-2056786,sire
B05-2094480,B09-2056786,dam
B11-2101195,B15-3150599,dam
B09-6235772,NL11-1396248,sire
NL09-1889945,NL11-1396248,dam
B02-6257974,B09-6235772,sire
B05-6302837,B09-6235772,dam
NL05-1862278,NL09-1889945,sire
CHN10-422324,CHN13-03-1191422,dam
NL94-1161013,NL08-1368169,sire
NL01-1672832,NL08-1368169,dam
NL89-1117317,NL94-1161013,sire
NL86-0854046,NL94-1161013,dam
NL00-1160748,NL01-1672832,sire
NL00-1282143,NL01-1672832,dam
NL06-2049400,NL13-1121514,sire
NL09-1060411,NL13-1121514,dam
NL05-1210548,NL06-2049400,sire
NL05-1210555,NL06-2049400,dam
NL02-1434319,NL09-1060411,sire
NL05-1210540,NL09-1060411,dam
B09-6114943,B11-6331070,sire
B10-6031800,B11-6331070,dam
B07-6210916,B09-6111640,dam
B10-6031888,DV05837-14-1216,sire
B09-6103287,B10-6031888,dam
NL10-4220204,NL12-4240082,sire
NL08-1967352,NL10-4220204,sire
NL08-1967352,NL09-1594251,sire
NL05-1859747,NL08-1967352,sire
CHN05-03-260654,CHN12-03-067302,sire
B04-6293151,CHN12-03-067302,dam
CHN00-03-323173,CHN05-03-260654,sire
DV02539-98-0147,CHN05-03-260654,dam
B95-3274306,B04-6293151,sire
B00-6448062,B04-6293151,dam
B06-3201619,B11-6061364,sire
B06-6096399,B11-6061364,dam
B01-6123140,B06-6096399,sire
NL03-1057289,B06-6096399,dam
B01-6499306,B09-6136264,sire
B05-6307009,B09-6136264,dam
B02-6276306,B05-6307009,sire
B98-6156220,B05-6307009,dam
NL08-3821982,NL11-1600777,sire
NL08-1392287,NL11-1600777,dam
NL95-2123024,NL08-1392287,sire
NL06-2101045,NL08-1392287,dam
CHN2008-03-066558,CHN2007-03-618886,sire
CHN2008-03-066681,CHN2007-03-618886,dam
CHN2006-03-090762,CHN2007-03-009051,sire
DV00-02463-797,CHN2007-03-009051,dam
CHN2007-03-009051,CHN2013-03-882301,sire
NL2003-1434889,CHN2010-03-165854,sire
CHN2007-03-009698,CHN2010-03-165854,dam
DV09-240-30349,CHN2014-03-319218,dam
CHN2008-03-818868,CHN2009-03-655896,sire
CHN2008-01-710680,CHN2009-03-655896,dam
NL2003-1434889,CHN2010-03-181146,sire
NL97-1908675,CHN2010-03-181146,dam
CHN2010-03-178349,CHN2013-03-1231663,dam
CHN2012-03-440532,CHN2013-03-1231682,sire
CHN2008-03-590449,CHN2012-03-440532,sire
CHN2007-03-009698,CHN2010-03-181146,dam
CHN2012-03-440532,CHN2013-03-1231538,sire
CHN2009-01-570648,CHN2013-03-882398,sire
CHN2009-03-661131,CHN2013-03-882398,dam
CHN2010-03-188838,CHN2013-03-883362,sire
CHN2008-01-710680,CHN2013-03-883362,dam
CHN2010-03-178349,CHN2012-03-819611,dam
B92-5338426,B98-5201624,sire
B94-5109274,B98-5201624,dam
B89-5340010,B97-5204459,sire
B92-5040391,B97-5204459,dam
B01-6455003,B05-6045081,sire
B04-6073742,B05-6045081,dam
B05-6045015,B11-6240682,sire
B04-6095801,B11-6240682,dam
B05-6045015,B11-6240681,sire
B04-6095801,B11-6240681,dam
B08-6368070,B10-6359178,sire
B1998-6210514,B2001-6255337,sire
B1997-6588200,B2001-6255337,dam
B09-6323991,B12-6319008,sire
B09-6323112,B2013-6215645,sire
B2011-6238397,B2013-6215645,dam
B2008-6339499,B2012-6140230,sire
B2003-6086258,B2012-6140230,dam
B09-6323111,B2013-6215649,sire
B12-6325530,B2013-6215649,dam
B11-6244772,B12-6325530,sire
B08-6298348,B13-6314712,sire
B08-6297117,B13-6314712,dam
B08-6338583,B14-6058537,sire
B10-6284702,B14-6058537,dam
B09-6323174,B12-6183801,sire
B09-6323168,B12-6183801,dam
B09-6323991,B2015-6279697,sire
B13-6215614,B2015-6279697,dam
B09-6323111,B13-6215614,sire
B06-6370820,B13-6215614,dam
B09-6323112,B2013-6215644,sire
B2011-6238397,B2013-6215644,dam
B1994-6214259,B2001-6255352,sire
B1997-6599835,B2001-6255352,dam
B83-6376407,B1994-6214259,sire
B1982-6380170,B1997-6599835,sire
B1994-6214446,B1997-6599835,dam
B1995-6230656,B2001-6255303,sire
B1997-6165851,B2001-6255303,dam
NL00-2327269,C07-03-167886,sire
NL05-1672021,C07-03-167886,dam
C1101-639741,C14-03-1000617,sire
C09-03-678192,C14-03-1000617,dam
NL2011-1758199,NL2012-1640434,sire
B03-6226043,B2014-6022781,sire
B94-6495178,B03-6226043,sire
NL05-1446650,CHN2015-08-0419460,sire
B07-3013660,CHN2014-15-090772,sire
B13-5053849,BE16--6183698,sire
B09--5030511,B13-5053849,sire
NL2003-1135048,NL11-1764251,sire
NL2007-1786382,NL11-1764251,dam
NL2001-1886536,NL2003-1135048,sire
NL1999-2360220,NL2003-1135048,dam
NL2005-2187237,NL2007-1786382,sire
NL2001-1847324,NL2007-1786382,dam
B97-6157699,B06-6413729,sire
B04-6468625,B06-6413729,dam
NL03-1168484,NL08-1569220,sire
NL07-1818077,NL08-1569220,dam
B08-6374766,B14-6241519,dam
B03-6460062,B08-6374766,sire
B03-6086112,B08-6374766,dam
BE07-3373192,BE08--3082221,sire
BE06-3149003,BE08--3082221,dam
B04-6082266,NL10-1693078,sire
B08-1548902,NL10-1693078,dam
B05-3006583,B12-3089679,sire
B04-3069721,B12-3089679,dam
B06-3008013,B14-3067001,dam
B07-1274303,B12-1274335,sire
B07-2090939,B10-2083169,sire
B05-2142800,B10-2083169,dam
B92-2198165,B05-2142800,sire
B98-6084339,B05-2142800,dam
B00-2574327,B08-2182617,sire
B01-2294026,B08-2182617,dam
B86-2553521,B00-2574327,sire
B91-3210123,B00-2574327,dam
B94-2118023,B01-2294026,sire
B96-6335299,B01-2294026,dam
NL95-1059582,NL04-1560352,sire
NL00-1488066,NL04-1560352,dam
B02-6270286,BELG08-6234270,sire
B97-6548709,B02-6270286,sire
B97-4483920,B02-6270286,dam
GFL404-2003,AU2010-GFL-218,sire
GFL633-2004,AU2010-GFL-218,dam
NL2310369-91,GFL404-2003,sire
NL1414085-85,GFL404-2003,dam
NL2310369-91,GFL633-2004,sire
NL0177721-01,GFL633-2004,dam
NL11-1736776,NL14-4185052,sire
NL06-1297284,NL14-4185052,dam
NL08-1537352,NL11-1736776,sire
NL08-1537339,NL11-1736776,dam
NL04-4141488,NL06-1297284,sire
NL05-4022811,NL06-1297284,dam
NL13-4151972,NL14-4185048,sire
NL12-4139171,NL14-4185048,dam
NL08-1762794,NL13-4151972,sire
NL10-4186069,NL13-4151972,dam
NL10-1892648,NL12-4139171,sire
NL09-1186063,NL12-4139171,dam
NL02-2283929,NL07-1213775,sire
NL02-5251279,NL07-1213775,dam
NL00-2466666,NL02-2283929,sire
NL97-2260275,NL02-2283929,dam
NL97-2276709,NL02-5251279,sire
NL10-4186111,NL14-4185015,sire
NL12-4139145,NL14-4185015,dam
NL07-1080235,NL10-4186111,sire
NL09-1405256,NL10-4186111,dam
NL11-1736781,NL12-4139145,sire
NL09-1186043,NL12-4139145,dam
B06-2082239,B10-2045214,sire
B04-2294930,B10-2045214,dam
B94-2061350,B06-2082239,sire
B00-2117363,B06-2082239,dam
B92-6337535,B04-2294930,sire
B97-2076286,B04-2294930,dam
B06-2082050,B11-2083204,dam
B08-2059166,B16-2138470,sire
B08-2040063,B16-2138470,dam
B05-2218173,B08-2059166,sire
B10-5110442,B11-5047232,dam
B02-6269204,B10-5110442,dam
B01-2137150,B2011-2083301,sire
B05-2142800,B2011-2083301,dam
B10-5025032,B12-5057266,sire
B10-5110400,B12-5057266,dam
B07-5116223,B10-5025032,sire
B07-5116119,B10-5025032,dam
B18-2069443,B19-2031048,sire
B07-4332335,B19-2031048,dam
B16-3136600,B18-2069443,sire
B06-2082068,B18-2069443,dam
B04-4431712,B07-4332335,sire
BELG2011-2083155,B19-2031131,sire
BELG2012-2061182,B19-2031131,dam
BELG2001-2137150,BELG2011-2083155,sire
B2008-2040063,BELG2011-2083155,dam
B07-2090939,BELG2012-2061182,sire
B2005-2142692,BELG2012-2061182,dam
B18-2069182,B19-2031069,dam
BELG2011-2083155,B18-2069182,sire
B18-2069435,B19-2031155,dam
B16-3136645,B18-2069435,sire
B18-2069057,B19-2031110,dam
B16-3136645,B18-2069057,sire
B08-2040062,B18-2069057,dam
B16-3136600,B19-2031040,sire
B16-6075427,B19-2031040,dam
B13-6122154,B16-6075427,dam
B16-3136645,B19-2031036,sire
B15-2062242,B19-2031036,dam
B10-3022653,B16-3136645,dam
B06-2246393,B15-2062242,sire
B16-3136600,B18-2069444,sire
B06-2082068,B18-2069444,dam
B04-4375935,B06-2082068,sire
B16-3136600,B18-2069386,sire
B06-2082068,B18-2069386,dam
B16-3136600,B18-2069172,sire
B06-2082068,B18-2069172,dam
B15-2062353,B17-2076204,sire
B08-2236567,B17-2076204,dam
B06-2246393,B15-2062353,sire
B05-2142800,B15-2062353,dam
B06-6210255,B08-2236567,dam
B07-2055337,B17-2076024,sire
B08-2040062,B17-2076024,dam
B04-4439160,B07-2055337,sire
B05-4130432,B07-2055337,dam
B03-4316077,B08-2040062,sire
B06-2082050,B08-2040062,dam
B11-6091408,B14-2216398,sire
B05-2143070,B14-2216398,dam
B06-6405249,B11-6091408,dam
B11-6091408,B14-2216397,sire
B05-2143070,B14-2216397,dam
BELG2001-2137150,B12-2061185,sire
B08-2040300,B12-2061185,dam
B94-2061168,BELG2001-2137150,dam
B05-2143154,B08-2040300,sire
B99-14391000,B08-2040300,dam
BELG2001-2137150,B12-2061184,sire
B08-2040300,B12-2061184,dam
B10-2045214,CHN19-03-0777740,sire
B00-2117363,CHN19-03-0777740,dam
B2006-2082239,B10-2045214,sire
B01-1439889,B00-2117363,sire
B10-2045207,B00-2117363,dam
B04-5174902,B08-2040295,sire
B01-2137150,B11-2083301,sire
B05-2142800,B11-2083301,dam
B87-4021090,B11-2083301,dam
B99-14391200,B08-2040295,dam
B14-2216397,B16-2138138,sire
B10-2045186,B16-2138138,dam
BELG2001-2137150,B11-2083301,sire
B94-2061168,B11-2083301,dam
B01-2137150,B11-2083204,sire
B10-2045214,B13-2053493,sire
B10-2045186,B13-2053493,dam
B01-2137326,B04-2294930,sire
B05-2143070,B04-2294930,dam
B10-2215863,B14-2216194,sire
B10-2121832,B14-2216194,dam
B11-2083301,CHN17-03-1368069,sire
B11-2083204,CHN17-03-1368069,dam
B10-2045388,B16-03-1366005,sire
B06-2082147,B16-2138111,dam
B99-2036304,CHN03-09-004928,sire
B01-2137266,CHN03-09-004928,dam
B11-2083301,CHN17-03-1361900,sire
B05-2142800,CHN17-03-1361900,dam
B11-2083301,CHN17-03-1361885,sire
B05-2142800,CHN17-03-1361885,dam
B11-2083301,CHN17-03-1361882,sire
B05-2142800,CHN17-03-1361882,dam
B11-2083301,CHN17-03-1361881,sire
B05-2142800,CHN17-03-1361881,dam
B10-2045214,CHN17-03-1361679,sire
B00-2117363,CHN17-03-1361679,dam
B92-6337535,B00-2117363,sire
B97-2076286,B00-2117363,dam
B10-2045214,CHN17-03-1361678,sire
B00-2117363,CHN17-03-1361678,dam
B10-2045214,CHN17-03-1361666,sire
B00-2117363,CHN17-03-1361666,dam
B10-2045214,CHN17-03-1361665,sire
B00-2117363,CHN17-03-1361665,dam
B83-2350020,B96-2348032,sire
B92-2198177,B96-2348032,dam
BE08-6177698,B2010-6031965,sire
B09-6040908,B2010-6031965,dam
B98-6335690,BE08-6177698,sire
B07-6033110,BE08-6177698,dam
B04-6096339,B09-6040908,sire
B06-6211149,B09-6040908,dam
NL08-1101997,NL09-1835767,sire
NL03-1913098,NL09-1835767,dam
NL98-5821470,NL07-5724653,sire
B95-6246005,B06-6210462,sire
B98-6523289,B06-6210462,dam
B03-6194837,B10-6357304,sire
B04-6095553,B10-6357304,dam
DAN212-95-0270,DAN025-04-0824,sire
NL03-1912862,DAN025-04-0824,dam
NL03-1918944,DAN025-04-0861,sire
NL99-1444972,DAN025-04-0861,dam
B08-6177698,BELG2010-6343256,sire
B03-6108024,BELG2010-6343256,dam
B98-6335690,B08-6177698,sire
B07-6033110,B08-6177698,dam
B01-6344997,B03-6108024,sire
B01-6364383,B03-6108024,dam
B06-6148382,B11-6091803,sire
B09-6358189,B11-6091803,dam
B08-6368070,B11-6091733,sire
B10-6146356,B11-6091733,dam
B04-6095524,B09-6040565,sire
B07-6363575,B09-6040565,dam
B05-6336717,B09-6040532,sire
B06-6210237,B09-6040532,dam
B02-6256251,B09-6040559,sire
B02-6501440,B09-6040559,dam
B06-6210298,B09-6040577,sire
B04-6095802,B09-6040577,dam
B04-3219444,B11-3047975,sire
B10-3177633,B11-3047975,dam
B05-3050482,B11-3047948,sire
B10-3177645,B11-3047948,dam
B00-9151118,HK06-55421,sire
DV07174-04-469,DV07174-07-268,sire
DV07174-04-439,DV07174-07-268,dam
B04-6208161,B12-6195891,sire
B04-6208086,B12-6195891,dam
B05-6176115,CHN2014-01-1017776,sire
B03-6257231,B05-6176115,sire
B03-6257209,B05-6176115,dam
B05-6176115,CHN2014-01-1016190,sire
B05-6176115,CHN2016-01-1616218,sire
B07-6033004,CHN2016-01-1616218,dam
B01-6345101,B07-6033004,sire
B03-6257007,B07-6033004,dam
B10-6031951,CHN2016-01-1617220,sire
NL13-1814332,CHN2016-01-1617220,dam
B10-6031799,B10-6031951,sire
NL06-1796101,NL13-1814332,sire
NL12-1288044,NL13-1814332,dam
B09-6111597,CHN2015-01-1416874,sire
B12-6023855,CHN2015-01-1416874,dam
B98-6335690,B09-6111597,sire
B08-6259169,B09-6111597,dam
B02-6183083,B12-6023855,sire
B10-6031007,B12-6023855,dam
B10-6030913,CHN2012-01-018375,sire
HU10-260097,CHN2012-01-018375,dam
B09-6169433,B10-6030913,sire
B07-6033149,B10-6030913,dam
HU03-02-94894,HU10-260097,sire
HU05-128549,HU10-260097,dam
BELG07-90648034,BELG10-9090095,sire
BELG08-1050067,BELG10-9090095,dam
BELG01-6153920,DV07364-04-1299,sire
BELG97-6569466,DV07364-04-1299,dam
BELG00-6141426,DV07364-07-672,sire
BELG03-6425151,DV07364-07-672,dam
DV02078-96-842,DV07237-05-524,sire
BELG03-6086227,DV07237-05-524,dam
BELG01-2137150,BELG10-2045383,sire
BELG02-9019498199,BELG10-2045383,dam
BELG06-2082239,BELG10-2045360,sire
BELG99-2036108,BELG10-2045360,dam
CHN02-03-063003,CHN2005-03-171974,sire
CHN02-03-063009,CHN2005-03-171974,dam
CHN02-03-063003,CHN10-03-874799,sire
CHN02-03-063009,CHN10-03-874799,dam
CHN03-03-318293,CHN12-03-999211,sire
CHN03-03-300979,CHN12-03-999211,dam
NL96-2286560,C04-300518,sire
C01-210066,C04-300518,dam
B2000-4396479,CHN02-03-000326,sire
B06-6149971,NL10-1271714,sire
BE09-6111743,NL2013-1947209,sire
BE10-6031822,NL2013-1947209,dam
BE98-6335690,BE09-6111743,sire
BE96-6404318,BE09-6111743,dam
BE98-6335690,BE10-6031822,sire
BE04-6307341,BE10-6031822,dam
BE10-6031729,BE2014-4240049,sire
BE13-3164567,BE2014-4240049,dam
BE98-6335690,BE10-6031729,sire
BE96-6404318,BE10-6031729,dam
BE03-6257098,BE13-3164567,sire
BE03-6150214,BE13-3164567,dam
B05-2143360,B11-2083372,sire
B04-2211623,B11-2083372,dam
B03-3241936,B05-2143360,sire
B00-6376276,B05-2143360,dam
B00-2102302,B04-2211623,sire
B02-2324581,B04-2211623,dam
NL02-5255446,NLD09-1647128,sire
NL99-2585526,NL02-5255446,sire
B2181371-98,B2206045-11,sire
BE09-6348500,B6308447-13,sire
B01-6455003,BE09-6348500,sire
BE02-6354241,B6049945-11,sire
B1996-6279487,BE02-6354241,sire
B1994-6366938,BE02-6354241,dam
B6091121-08,B6226311-11,dam
NL02-5255446,CHN13-01-563957,sire
NL05-1909293,NL02-5255446,dam
B2214318-09,B2235738-14,sire
B2222388-07,B2235738-14,dam
CHN13-283392,CHN2013-09-283392,sire
B97-4097319,CHN13-0,sire
NL07-1644107,C13-01-563624,sire
NL01-1672053,NL07-1644107,sire
BE10-6163736,B6119045-11,sire
B98-6210287,B2007-6011035,sire
B98-6210293,B2007-6011035,dam
B92-6074426,B98-6210293,sire
B92-6074579,B98-6210293,dam
DV0516-07-975,DV09876-08-264,sire
DV07237-05-805,DV09876-08-264,dam
DV0516-01-184,DV0516-07-975,sire
B06-6148423,DV0516-07-975,dam
B02-6507084,DV07237-05-805,sire
B99-6061166,B05-6045476,sire
DV02098-01-711,DV02098-03-1089,dam
NL95-5594605,DV02098-01-711,sire
NL05-1731421,NL12-5213765,sire
NL10-1082875,NL12-5213765,dam
NL96-1160887,NL05-1731421,sire
NL02-2358081,NL05-1731421,dam
NL02-5255446,NL10-1082875,sire
NL05-5535809,NL10-1082875,dam
B03-5207447,B06-5056717,sire
B00-5098153,B06-5056717,dam
B99-5247071,B03-5207447,sire
B95-5211928,B03-5207447,dam
B98-5149694,B00-5098153,sire
B99-5074811,B00-5098153,dam
NL08-1559465,NL10-1700890,dam
NL01-1106788,NL11-1161914,dam
NL01-1106788,NL10-1084759,dam
NL03-1168559,NL07-1620383,sire
NL04-2082550,NL07-1620383,dam
NL96-2312124,NL03-1168559,sire
NL01-1922847,NL03-1168559,dam
NL96-5666011,NL04-2082550,sire
NL96-5666017,NL04-2082550,dam
NL08-2017296,NL09-1643707,sire
NL04-1358552,NL09-1643707,dam
NL04-1326803,NL08-2017296,sire
NL06-1521404,NL08-2017296,dam
NL98-1895863,NL04-1358552,sire
NL00-1177139,NL04-1358552,dam
B92-3138647,B02-3025837,sire
B87-3089349,B02-3025837,dam
B02-3025836,NL06-1078569,sire
B00-3244492,NL06-1078569,dam
B07-6363154,CHN12-03-111336,dam
B09-6222995,BELG08-6314692,dam
CHN2001-10-225830,CHN2006-10-400439,sire
CHN2005-10-393953,CHN2006-10-400439,dam
CHN04-09-007132,CHN2010-09-226698,sire
CHN07-09-0021112,CHN2010-09-226698,dam
B96-3096031,CHN04-09-007132,sire
CH02-10-695514,CHN07-09-0021112,sire
CHN04-09-007137,CHN07-09-0021112,dam
CHN10-09-487418,CHN12-09-395131,dam
CHN10-09-487528,CHN14-09-089727,sire
CHN12-09,CHN14-09-089727,dam
CHN01-09-283395,CHN09-09-131039,sire
CHN05-09-028582,CHN09-09-131039,dam
CHN02-09-004353,CHN09-09-131029,sire
CHN01-09-141944,CHN09-09-131029,dam
CHN06-09-278242,CHN11-09-132202,sire
CHN09-01-001923,CHN11-09-132202,dam
CHN01-09-283395,CHN09-09-131038,sire
CHN05-09-028582,CHN09-09-131038,dam
CHN2009-09-131039,CHN13-09-241740,sire
NL05-1376044,CHN13-09-241740,dam
CHN09-09-192024,CHN13-09-214263,sire
CHN05-09-041580,CHN13-09-214263,dam
CHN02-09-168127,CHN05-09-041580,dam
CHN09-09-131039,CHN13-09-068252,sire
CHN09-01-499289,CHN13-09-068252,dam
CHN08-09-302796,CHN13-09-292168,sire
CHN07-09-018395,CHN13-09-292168,dam
CHN99-09-008471,CHN07-09-018395,sire
CHN06-09-300993,CHN07-09-018395,dam
DV0215-10-200,CHN13-09-621106,sire
CHN12-06-888568,CHN13-09-621106,dam
CHN03-09-002015,CHN10-09-060390,sire
CHN06-09-309454,CHN11-09-190925,sire
CHN05-09-168898,CHN11-09-190925,dam
CHN2009-09-131039,CHN12-09-357664,sire
NL05-1376044,CHN12-09-357664,dam
DV0730-09-204,CHN14-09-089623,dam
CHN10-09-219365,CHN13-09-257167,sire
CHN12-09-357669,CHN13-09-257167,dam
CHN10-09-219368,CHN13-09-241737,sire
CHN10-09-060390,CHN13-09-241737,dam
CHN10-09-219368,CHN13-09-214254,sire
CHN10-09-060390,CHN13-09-214254,dam
CHN11-09-517317,CHN13-09-462242,sire
