parent,child,role
DV02098-03-1111,DV02098-06-312,dam
NL88-2763913,NL00-5063898,sire
NL89-4045749,NL00-5063898,dam
DV01-07237-1495,DV06951-09-0186,sire
DV07237-05-0653,DV06951-09-0186,dam
DV08441--97-0119,DV01-07237-1495,sire
DV04153-9501331,DV01-07237-1495,dam
DV02098-99-802,DV07237-05-0653,sire
DV03916-0604,DV07237-05-0653,dam
NL06-1605925,NL08-2057394,sire
NL97-2263404,NL06-1605925,sire
NL98-1945795,NL06-1605925,dam
CU03-30064,CHN04-01-516840,dam
CU03-30064,CHN2005-01-591719,dam
NL03-1171998,NL11-1767684,sire
NL05-1444365,NL11-1767684,dam
NL02-1671998,NL03-1171998,sire
NL01-1925655,NL03-1171998,dam
NL03-1139808,NL05-1444365,sire
NL01-1890662,NL05-1444365,dam
B2014-2206679,B2015-2074831,sire
B2011-2067224,B2015-2074831,dam
B2010-2063154,B2014-2206679,sire
B2011-2067239,B2014-2206679,dam
B2010-2063107,B2011-2067224,sire
B2003-2120843,B2011-2067224,dam
B10-6146193,DV09306-16-458,sire
B10-6339908,DV09306-16-458,dam
B00-6141444,B10-6146193,sire
B06-6148141,B10-6146193,dam
B06-6413072,B10-6339908,sire
B07-6043936,B10-6339908,dam
B07-6369520,DV0824-16-523,sire
B05-6045136,DV0824-16-523,dam
B00-6141444,B07-6369520,sire
B00-6440232,B07-6369520,dam
B00-6141444,B05-6045136,sire
B03-6192776,B05-6045136,dam
B2011-2067185,B2014-2323402,sire
B2009-2025021,B2014-2323402,dam
B2009-2025181,B2011-2067185,sire
B2007-2222892,B2009-2025021,sire
B2007-2222840,B2009-2025021,dam
B11-2051132,B16-2147871,sire
B12-2178172,B16-2147871,dam
B01-6455003,B11-2051132,sire
B08-2145384,B11-2051132,dam
B01-6455003,B12-2178172,sire
B11-2051176,B12-2178172,dam
B15-6090799,DV01764-16-213,sire
B15-6090922,DV01764-16-213,dam
B03-6277483,B15-6090799,sire
B13-6313926,B15-6090799,dam
B10-6251541,B15-6090922,sire
B13-6304231,B15-6090922,dam
B10-6345273,NL15-1273692,sire
B09-6348453,NL15-1273692,dam
B03-6192634,B10-6345273,sire
B08-6368028,B10-6345273,dam
B01-6455003,B09-6348453,sire
NL02-2249802,NL2012-5210239,sire
NL10-1100998,NL2012-5210239,dam
NL95-1379941,NL02-2249802,sire
NL00-1079894,NL2005-5535902,sire
NL00-1079862,NL2005-5535902,dam
B06-6267485,B13-6080555,sire
B07-6076659,B13-6080555,dam
B98-6210287,B06-6267485,sire
B04-6468525,B06-6267485,dam
B99-6143668,B07-6076659,sire
B02-6509046,B07-6076659,dam
NL05-1191690,NL08-1349377,sire
NL07-5711981,NL08-1349377,dam
NL07-5727668,NL12-1106912,sire
NL05-1965900,NL12-1106912,dam
NL05-1592543,NL07-5727668,sire
NL04-4785791,NL07-5727668,dam
NL02-5243946,NL05-1965900,sire
NL04-1418624,NL05-1965900,dam
B03-6381698,CHN2014-01-1053228,dam
B01-6370331,B03-6381698,sire
CH07-01-347036,HK08-82296,sire
HK07-72001,HK08-82296,dam
NL2010-1791866,CH2012-01-699250,sire
NL2011-1221427,CH2012-01-699250,dam
NL07-1955933,CHN2014-01-1012996,sire
NL2006-2164992,CH2015-01-0157150,sire
NL2009-1682401,CH2015-01-0157150,dam
