img_id,father,mother,pgf,pgm,mgf,mgm
671872,,,,,,
608550,,,,,,
608544,,,,,,
585909,,,,,,
554872,,,,,,
554869,,,,,,
538931,NL07-5727668,NL05-1965900,NL05-1592543,NL04-4785791,NL02-5243946,NL04-1418624
464026,,,,,,
439932,,,,,,
413841,,,,,BE02-3255937,BE02-3003668
272351,,,,,,
358574,,B03-6381698,,,B01-6370331,
298157,,,B09-6111597,B11-6119081,B10-6031942,B09-5161526
399240,CH07-01-347036,HK07-72001,,,,
212246,,,,,,
675673,,,,,,
675608,,,,,,
671873,,,,,,
631307,,,,,,
557726,,,,,,
554898,,,,,,
554895,,,,,,
554890,,,,,,
554889,,,,,,
554888,,,,,,
503441,,,,,,
494722,NL2010-1791866,NL2011-1221427,,,,
389056,NL07-1955933,,,,GFL99-641,GFL98-608
284107,,,B09-6111599,DV03452-09-198,B10-6031799,B09-6111531
675609,,,,,,
645828,,,,,,
630983,,,,,,
608548,,,,,,
494724,,,,,,
675610,,,,,,
630984,,,,,,
608547,,,,,,
608545,,,,,,
633046,,,,,,
494723,NL2006-2164992,NL2009-1682401,,,,
630180,,,,,,
161385,,,,,,
554896,,,,,,
515676,,,,,,
161389,,,,,,
630181,,,,,,
631278,,,,,,
674437,,,,,,
672646,,,,,,
667653,,,,,,
636782,CH2013-01-1262663,CH2013-01-12639322013,,,,
631306,,,,,,
631164,,,,,,
612665,,,,,,
608549,,,,,,
597635,,,,,,
593305,,,,,,
593303,,,,,,
593273,,,,,,
593272,,,,,,
585911,,,,,,
585910,,,,,,
421919,AU09,AU10,,,,
300061,,,NL07-1207688,,,B98-6523298
231793,,,,,,
272350,,,,,,
445810,,,,,,
440516,,,,,,
430208,,,,,,
325675,,,,,,
325841,,,,,,
325816,,,,,,
325800,,,,,,
325795,,,,,,
325793,,,,,,
445811,,,,,,
325663,,,,,,
325822,,,,,,
325809,,,,,,
325807,,,,,,
325797,,,,,,
325792,,,,,,
325686,,,,,,
325681,,,,,,
445812,,,,,,
325661,,,,,,
