img_id,ancestor,contribution
130076,B06-3002185,0.5
130078,B07-3008489,0.5
130078,B01-4297604,0.25
130078,B06-4370915,0.5
130078,B05-4126057,0.25
130078,B05-4126065,0.25
130092,B09-6301870,0.5
130092,B02-6290709,0.25
130092,B00-6548780,0.25
130092,B93-6491172,0.125
130092,B91-6685040,0.125
130094,B02-6366788,0.5
130094,B95-6637008,0.25
130094,B95-6316476,0.25
130143,B06-6334205,0.5
130143,B95-6647246,0.25
130146,B01-6263976,0.5
130146,B93-6681396,0.25
130148,B03-6471645,0.5
130148,B96-6490451,0.25
130149,B03-6471645,0.5
130149,B96-6490451,0.25
130150,B08-6350739,0.5
130447,B04-6293166,0.5
130447,B97-6592486,0.5
130447,B95-6274342,0.5
130447,B04-6293217,0.5
130449,B04-6293166,0.5
130449,B97-6592486,0.5
130449,B95-6274342,0.5
130449,B04-6293217,0.5
130613,NL08-1577562,0.5
130613,NL05-1419056,0.25
130613,NL06-1091773,0.25
130613,NL08-1577565,0.5
130613,NL00-5056164,0.25
130613,NL06-1091713,0.25
130783,B03-2001819,0.5
130783,B98-2436672,0.5
130783,B93-5288924,0.25
130783,B91-5268690,0.25
130801,B03-6482648,0.5
130801,B90-6652120,0.625
130801,B94-6323005,0.25
130801,B00-6367169,0.5
130801,B95-6246005,0.25
130801,B93-6621023,0.125
131139,CC04-299775,0.5
131139,B94-6668861,0.25
131139,B87-6337115,0.125
131139,B93-6440306,0.125
131139,B97-6592452,0.25
131139,B93-6440308,0.125
131139,B89-6150123,0.125
131139,CC03-030444,0.5
131139,B94-6261321,0.25
131139,B93-6440307,0.125
131139,B92-6162729,0.125
131139,B96-6376126,0.25
131571,NL08-1098225,0.5
131571,NL01-1135600,0.25
131571,NL06-1763820,0.25
131571,NL07-1854469,0.5
131571,NL00-2187115,0.25
131571,NL04-2088643,0.25
132275,B2005-5217183,0.5
132275,B97-6355026,0.25
132275,B93-2434274,0.125
132275,B92-6074663,0.125
132275,B99-6366880,0.25
132292,CHN11-2006-041933,0.5
132292,C02-112665,0.25
132292,C03-082182,0.25
132297,HK2005-222419,0.5
132297,CHN18-2007-063469,0.5
132297,CHN32-2004-789851,0.25
132297,CHN32-2000-056843,0.25
132364,B07-3182025,0.5
132364,B07-3182009,0.5
13240,B97-6390086,0.5
13240,B93-6621110,0.25
13240,B94-6323005,0.25
13240,B98-6523011,0.5
13240,B93-6621060,0.25
13240,B96-6286093,0.25
132522,NL16-1331188,0.5
132522,NL11-1521612,0.25
132522,NL05-1243818,0.125
132522,NL08-1291712,0.125
132522,NL08-1291700,0.25
132522,NL06-1967847,0.125
132522,NL05-1234823,0.125
132522,NL14-1754821,0.5
132522,NL13-1023581,0.25
132522,NL10-1456183,0.25
133729,CHN2006-03-075859,0.5
133729,CHN18-2006-011666,0.25
133729,CHN2004-304988,0.25
13379,B00-6474655,0.5
13379,B96-6586824,0.25
13379,B97-6548725,0.25
13379,B03-6384564,0.5
13379,B97-6548525,0.25
13379,B98-6492636,0.25
13402,B96-5290252,0.5
13402,B89-5340010,0.25
13402,B90-5061274,0.5
13402,B84-6510285,0.25
13402,B85-6580876,0.25
13452,B01-5028418,0.5
13452,B95-5889144,0.25
13452,B95-5000924,0.25
135294,NL2000-1491539,0.5
135294,NL2000-1487958,0.5
135302,NL2000-1491539,0.5
135302,NL2000-1487958,0.5
135305,B97-5261930,0.5
135306,NL2002-1119009,0.5
135919,B06-4112354,0.5
136223,B04-2018501,0.5
136223,B03-2001819,0.25
136223,B98-2436672,0.25
136223,B93-5288924,0.125
136223,B91-5268690,0.125
136714,NL87-2886086,0.5
136851,B02-6091494,0.5
136851,B99-2370428,0.25
136851,B92-6074328,0.25
136851,B00-6156141,0.125
136851,B98-6429866,0.0625
136851,B98-6210106,0.5
136851,B84-0000002,0.25
136851,B89-6479635,0.25
136936,BE05-6153301,0.5
137035,B01-6135326,0.5
137035,B97-6162340,0.25
137261,DV01769-08-638,0.5
137267,DV01769-07-689,0.5
137267,DV01769-04-1280,0.25
137267,DV01769-06-99,0.25
137267,DV09468-04-252,0.5
137267,DV01769-99,0.25
137267,DV01769-02-607,0.25
137272,B04-6293165,0.5
137272,B02-6478464,0.25
137272,B95-6274320,0.25
137272,B04-6293217,0.5
137272,B97-6592486,0.25
137272,B95-6274342,0.25
137332,CHN04-09-27261604,0.5
137332,NL96-1737675,0.25
137332,NL96-2204410,0.25
137332,CHN07-09-425140,0.5
137332,CHN00-10-0202279,0.25
137332,CHN00-10-02009500,0.25
137391,B05-5220465,0.5
137391,B95-5111423,0.25
137391,B00-5150646,0.25
137391,B95-5111449,0.125
137391,B97-5204417,0.125
137391,B04-5065566,0.5
137391,B97-6594874,0.25
137391,B01-5025766,0.25
137396,NL11-1764052,0.5
137396,NL07-1847705,0.25
137396,NL07-1847706,0.25
137396,NL07-1847627,0.5
137396,BE06-6413730,0.25
137396,NL03-1168483,0.25
137400,NL16-1331180,0.5
137400,NL11-1521612,0.25
137400,NL05-1243818,0.125
137400,NL08-1291712,0.125
137400,NL08-1291700,0.25
137400,NL06-1967847,0.125
137400,NL05-1234823,0.125
137400,NL16-1330276,0.5
137400,NL15-1502891,0.25
137400,NL10-1856406,0.25
137748,C04-10-068680,0.5
137748,C06-10-145308,0.5
138147,B06-6154774,0.5
138147,B01-6153558,0.25
138147,B99-6151734,0.25
