founder,code
B05-2142780,F861
B05-2142790,F862
B05-2143070,F863
B05-2143154,F864
B05-2143388,F865
B05-2165192,F866
B05-2181525,F867
B05-2201710,F868
B05-2201715,F869
B05-2218173,F870
B05-2218693,F871
B05-2219224,F872
B05-2267186,F873
B05-2284685,F874
B05-30006569,F875
B05-3006515,F876
B05-3006555,F877
B05-3006565,F878
B05-3006657,F879
B05-3006764,F880
B05-3006794,F881
B05-3006862,F882
B05-3018830,F883
B05-3057716,F884
B05-3064176,F885
B05-3105949,F886
B05-3116111,F887
B05-3119347,F888
B05-3121955,F889
B05-3141541,F890
B05-3149404,F891
B05-3182151,F892
B05-3182278,F893
B05-3185008,F894
B05-3185086,F895
B05-3185139,F896
B05-3185140,F897
B05-3188782,F898
B05-3188835,F899
B05-3192692,F900
B05-3202164,F901
B05-3222518,F902
B05-3224559,F903
B05-3224570,F904
B05-3224581,F905
B05-3224593,F906
B05-3224796,F907
B05-4030018,F908
B05-4033597,F909
B05-4045080,F910
B05-4045210,F911
B05-4045308,F912
B05-4045392,F913
B05-4082656,F914
B05-4118160,F915
B05-4126057,F916
B05-4126065,F917
B05-4126313,F918
B05-4126351,F919
B05-4130429,F920
B05-4130432,F921
B05-4147234,F922
B05-41604430,F923
B05-4247376,F924
B05-4266001,F925
B05-4318884,F926
B05-4323995,F927
B05-4325774,F928
B05-4333735,F929
B05-4333765,F930
B05-4344528,F931
B05-4344619,F932
B05-4346680,F933
B05-4362295,F934
B05-4362298,F935
B05-4391925,F936
B05-4400566,F937
B05-4402403,F938
B05-4408025,F939
B05-4646605,F940
B05-5005188,F941
B05-5022085,F942
B05-5022143,F943
B05-5033666,F944
B05-5059341,F945
B05-5096304,F946
B05-5138927,F947
B05-5143844,F948
B05-5148753,F949
B05-5148826,F950
B05-5201215,F951
B05-5201296,F952
B05-5213962,F953
B05-5220492,F954
B05-5222993,F955
B05-5223008,F956
B05-5369393,F957
B05-5534893,F958
B05-6038956,F959
B05-6038970,F960
B05-6040452,F961
B05-6045015,F962
B05-6045034,F963
B05-6045093,F964
B05-6045251,F965
B05-6045302,F966
B05-6045374,F967
B05-6045522,F968
B05-6048131,F969
B05-6049767,F970
B05-6052005,F971
B05-6052027,F972
B05-6052111,F973
B05-6054182,F974
B05-6054252,F975
B05-6065440,F976
B05-6073276,F977
B05-6079766,F978
B05-6092268,F979
B05-6116293,F980
B05-6118235,F981
B05-6126285,F982
B05-6133118,F983
B05-6155333,F984
B05-6166013,F985
B05-6166077,F986
B05-6166095,F987
B05-6166202,F988
B05-6166205,F989
B05-6166372,F990
B05-6166391,F991
B05-6166398,F992
B05-6166521,F993
B05-6170705,F994
B05-6170732,F995
B05-6176104,F996
B05-6176147,F997
B05-6208435,F998
B05-6221037,F999
B05-6221085,F1000
B05-6221267,F1001
B05-6221271,F1002
B05-6221280,F1003
B05-6221293,F1004
B05-6225575,F1005
B05-6233900,F1006
B05-6234001,F1007
B05-6234092,F1008
B05-6234389,F1009
B05-6234500,F1010
B05-6280088,F1011
B05-6300035,F1012
B05-6300549,F1013
B05-6300565,F1014
B05-6302837,F1015
B05-6306314,F1016
B05-6336636,F1017
B05-6337115,F1018
B05-6337294,F1019
B05-6337884,F1020
B05-6341253,F1021
B05-6381477,F1022
B05-6381785,F1023
B05-6432828,F1024
B05-6433118,F1025
B05-6443900,F1026
B05-6444367,F1027
B05-6444400,F1028
B05-6445580,F1029
B05-6446902,F1030
B05-6447445,F1031
B05-6448106,F1032
B05-6448107,F1033
B05-6448192,F1034
B05-6451194,F1035
B05-6451851,F1036
B05-6453038,F1037
B05-6453312,F1038
B05-6453372,F1039
B05-6453376,F1040
B05-6453989,F1041
B05-9083076,F1042
B05-9093853,F1043
B06-1058428,F1044
B06-1437228,F1045
B06-1597788,F1046
B06-2017370100,F1047
B06-20175114,F1048
B06-2017512100,F1049
B06-2017522,F1050
B06-2017523100,F1051
B06-2019876,F1052
B06-2068575,F1053
B06-2073135,F1054
B06-2075050,F1055
B06-2082147,F1056
B06-2082189,F1057
B06-2082203,F1058
B06-2082231,F1059
B06-2083035,F1060
B06-2090139,F1061
B06-2094313,F1062
B06-2103942,F1063
B06-2105217,F1064
B06-2158233,F1065
B06-2213954,F1066
B06-2215497,F1067
B06-2222431,F1068
B06-2222493,F1069
B06-2222495,F1070
B06-2246393,F1071
B06-2253000,F1072
B06-2259395,F1073
B06-2452361,F1074
B06-3002185,F1075
B06-3004383,F1076
B06-3005670,F1077
B06-3005719,F1078
B06-3005798,F1079
B06-3008011,F1080
B06-3008217,F1081
B06-3008446,F1082
B06-3038138,F1083
B06-3069836,F1084
B06-3106188,F1085
B06-3107115,F1086
B06-3131096,F1087
B06-3148497,F1088
B06-3150932,F1089
B06-3175911,F1090
B06-3175937,F1091
B06-3175954,F1092
B06-3201435,F1093
B06-3204735,F1094
B06-3709321,F1095
B06-4008826,F1096
B06-4008828,F1097
B06-4039189,F1098
B06-4039937,F1099
B06-4060676,F1100
B06-4081816,F1101
B06-410092008,F1102
B06-4112354,F1103
B06-4112378,F1104
B06-4113363,F1105
B06-4126150,F1106
B06-4126945,F1107
B06-4143237,F1108
B06-4149046,F1109
B06-4238678,F1110
B06-4247115,F1111
B06-4352097,F1112
B06-4370914,F1113
B06-4377103,F1114
B06-439138,F1115
B06-5010003,F1116
B06-5010157,F1117
B06-5015157,F1118
B06-5025875,F1119
B06-5048411,F1120
B06-5048446,F1121
B06-5100715,F1122
B06-5100854,F1123
B06-5101325,F1124
B06-5101387,F1125
B06-5113765,F1126
B06-5115199,F1127
B06-5150005,F1128
B06-5188432,F1129
B06-5188476,F1130
B06-5194570,F1131
B06-5197577,F1132
B06-5204184,F1133
B06-5205524,F1134
B06-6033902,F1135
B06-6034719,F1136
B06-6035708,F1137
B06-6052165,F1138
B06-6052234,F1139
B06-6052291,F1140
B06-6052332,F1141
B06-6053535,F1142
B06-6056102,F1143
B06-6056106,F1144
B06-6057121,F1145
B06-6087309,F1146
B06-60996355,F1147
B06-6110237,F1148
B06-6115067,F1149
B06-6135329,F1150
B06-6135370,F1151
B06-6148017,F1152
B06-6148080,F1153
B06-6148105,F1154
B06-6148141,F1155
B06-6148423,F1156
B06-6149971,F1157
B06-6150906,F1158
B06-6154559,F1159
B06-6154634,F1160
B06-6154676,F1161
B06-6154772,F1162
B06-6154798,F1163
B06-6156013,F1164
B06-6156133,F1165
B06-6166694,F1166
B06-6173123,F1167
B06-6185454,F1168
B06-6185492,F1169
B06-6185559,F1170
B06-6187551,F1171
B06-6187615,F1172
B06-6187838,F1173
B06-6188481,F1174
B06-62012282007,F1175
B06-6208264,F1176
B06-6210001,F1177
B06-6210009,F1178
B06-6210219,F1179
B06-6210251,F1180
B06-6210255,F1181
B06-6210297,F1182
B06-6211149,F1183
B06-6212441,F1184
B06-6256241,F1185
