img_id,ring,code,source
634691,CHN2018-01-0815615,,fallback
634719,,,fallback
634729,,,fallback
634730,,,fallback
634731,,,fallback
634736,,,fallback
634739,,,fallback
634751,,,fallback
634753,,,fallback
634764,,F3170|F431,fallback
634816,,,fallback
634991,,,fallback
634993,,,empty
634994,,,empty
634999,,F2516|F2740|F684,fallback
635050,CHN2016-15-0060035,,empty
635054,,,empty
635058,CHN2017-15-0108658,,empty
635059,CHN2017-15-0108653,,empty
635062,CHN2016-15-0060058,,empty
635067,CHN2017-15-0010335,,empty
635069,CHN2016-15-0128345,,empty
635071,CHN2017-15-0016245,,empty
635072,CHN2016-15-0128044,,empty
635073,,,empty
635075,CHN2014-15-107883,,empty
635076,CHN2016-15-0128084,,empty
635077,CHN2014-15-107875,,empty
635091,CHN2017-15-0178926,,empty
635092,CHN2017-15-0170106,,empty
635095,CHN2016-15-0128059,,empty
635096,CHN2016-15-0128058,,empty
635098,CHN2012-15-132338,,empty
635103,CHN2016-15-0128350,,empty
635104,CHN2017-15-0170101,,empty
635106,CHN2017-15-0141104,,empty
635154,,,fallback
635155,,,fallback
635235,CHN17-03-1150445,F2011:2|F1392:3|F1398:3|F1451:3|F1803:3|F1804:3|F3237:3,structured
635266,C2017-0600682,,fallback
635411,B13-6122390,F1199:2|F1200:2,structured
635446,B15-6091495,F962:2|F1546:2|F1550:2,structured
635489,,,empty
635547,NL11-1185980,F2401|F2946|F3201,fallback
635561,,F1751|F1858,fallback
635631,,,empty
635645,B11-5006852,F1131:1|F1470:1,structured
635741,CHN2018-04-0860169,,empty
635743,CHN2018-04-0860189,,empty
635803,BE13-3048560,,fallback
635815,NL12-1403137,,fallback
635821,NL12-1403225,,fallback
635844,CHN15-32-0218996,,fallback
635867,CHN16-32-0662393,,fallback
635928,DV02098-16-1010,F5162:2|F5188:2|F5189:2|F5196:2,structured
635998,CHN2014-01-1016190,F636:2|F637:2,structured
636001,BELG2010-6343256,F284:2|F288:2|F1315:2|F3170:2,structured
636003,CHN2015-01-0015403,,fallback
636008,CHN2012-01-018375,F1317:2|F1649:2|F5410:2|F5412:2,structured
636019,CHN2014-01-1017776,F636:2|F637:2,structured
636029,CHN2016-01-1616218,F286:2|F634:2|F636:2|F637:2,structured
636030,CHN2015-01-1416874,F431:2|F1529:2|F1748:2|F3170:2,structured
636031,CHN2015-01-0015770,,fallback
636035,CHN2011-01-981476,,fallback
636054,,,fallback
636064,,,empty
636074,,,empty
636122,,,empty
636127,,,empty
636128,,,empty
636131,,,empty
636132,,,empty
636139,,,empty
636140,,,empty
63618,CHN2000-10-340423,,empty
636193,,,fallback
636194,,,fallback
636195,,F3194,fallback
636198,,F1553,fallback
636206,CHN14-32-433517,,empty
636279,GB14-P33704,,fallback
636449,CHN2018-01-0815673,,fallback
636506,CHN18-00-B008669,F4737:2|F1969:3|F1970:3|F1980:3|F1985:3,structured
636536,,,fallback
636538,CHN2018-10-1065084,F2925,fallback
63654,,,fallback
636564,,,fallback
636599,,,fallback
636606,,,empty
636609,,,empty
636644,,,fallback
636721,BE18-3067379,,fallback
636724,BE18-3067380,,fallback
636726,BE18-3067585,,fallback
636727,BE18-3067599,,fallback
636728,BE18-3067600,,fallback
636729,BE18-3067497,,fallback
636730,BE18-3067498,,fallback
636731,BE18-3130816,,fallback
636749,BE18-3067427,,fallback
636750,BE18-3067342,,fallback
636751,,,fallback
636752,BE17-3008140,,fallback
636756,BE16-3084104,,fallback
636757,BE18-3067364,,fallback
636758,BE18-3067387,,fallback
636761,BE14-6306610,,fallback
636762,BE14-6306593,F1638|F1640,fallback
636763,BE14-6306632,,fallback
636764,BE14-6306580,F3899:1|F4032:3|F4078:3,structured
636765,BE14-6306620,F1750,fallback
636766,BE14-6306621,F1750,fallback
636859,C2018-0266911,,empty
636928,,,fallback
636932,,F1657,fallback
637036,,F175|F180|F3116,fallback
637095,,,empty
637116,,,fallback
637117,,,fallback
637119,,,empty
637121,,,fallback
637122,,,empty
637124,,,empty
637134,,,fallback
637144,,,fallback
637149,,,fallback
637180,,,empty
637188,,,empty
637397,,,fallback
637412,,F2592|F290|F3087,fallback
637457,,,fallback
637459,,,fallback
637461,,,fallback
637475,,,fallback
637476,,,fallback
637486,CHN2012-10-707896,,fallback
637491,,,fallback
637492,B16-6126823,F783:2|F784:2|F1496:2|F3289:2,structured
637494,,F1485|F1664,fallback
637495,,F1503|F2006,fallback
637498,,F1485|F1664,fallback
637502,,,fallback
637503,,,fallback
637504,,,fallback
637505,,,fallback
637506,,,fallback
637517,,,empty
637545,NL2015-1082895,,fallback
637583,BELG10--6180768,,fallback
637602,,,fallback
637657,GB11-R04102,,fallback
637662,AU2014-APC-13244,F2688|F2689,fallback
637669,NL17-3750689,F1604:2|F1761:2|F1782:2|F6410:2,structured
637670,CHN2014-3372209,,empty
637716,,,fallback
637717,,,fallback
637721,,,fallback
637736,,,fallback
637738,,,fallback
637749,,,fallback
637751,,,fallback
637752,,,empty
637799,CHN2018-01-0815677,,fallback
637807,,,empty
637808,,,empty
637847,,F1127,fallback
637848,,,fallback
637864,BE12-6307283,,fallback
637873,BE14-3115682,,fallback
637954,CHN18-15-0134580,F637:2|F830:2|F272:3|F814:3,structured
637960,,,empty
637969,,,fallback
637974,CHN2016-W-005032,,fallback
637975,CHN2018-03-0102152,,fallback
637987,CHN2015-12-0212257,,fallback
637994,CHN2015-12-0214364,,fallback
637995,CHN2015-12-0214417,,fallback
637996,CHN2016-32-0670173,,fallback
637997,CHN2016-32-0670362,,fallback
637998,CHN2016-32-0670509,,fallback
638003,CHN2015-12-0211165,,fallback
638027,,,empty
638063,,,fallback
638098,CHN2016-15-0060075,,empty
638102,CHN2016-15-0128221,,empty
638119,CHN2016-15-0128306,,empty
638265,NL08-1549196,,fallback
638268,CHN2013-12-101915,,fallback
638270,CHN2013-12-101916,,fallback
638276,CHN2012-12-261807,,fallback
638283,CHN2013-12-099031,,fallback
638289,CHN2013-12-088946,,fallback
638293,CHN2013-12-088900,,empty
638303,CHN2013-12-088825,,fallback
638338,CHN2011-12-160915,,fallback
638359,CHN2013-12-088824,,empty
638365,CHN2012-12-261806,,fallback
638369,CHN2011-12-169187,,fallback
638391,CHN2010-12-174824,,empty
638460,CHN2010-12-168652,,fallback
638461,CHN2010-12-168653,,fallback
638471,CHN11-10-078271,,empty
638472,CHN11-10-078273,,empty
638473,CHN11-10-078272,,empty
638503,CHN11-10-078278,,fallback
638731,,,fallback
638764,,,empty
638918,CHN2013-02-013504,,fallback
638919,CHN2013-02-013597,,fallback
